Gender,Please choose 6  courses that you will choose /  interest you / have chosen,Business & Financial Technology (SIT),Information Technology (SIT),Infocomm & Security (SIT),Cybersecurity  & Digital Forensics (SIT),Business Intelligence & Analytics (SIT),Common ICT Programme (SIT),Experiential Product & Interior Design (SDM),Animation & Visual Effects (SDM),Architecture  (SDM),Interaction Design (SDM),Digital Game Art & Design (SDM),Visual Communication (SDM),Motion Graphics Design (SDM),Game Development & Technology (SDM),Applied Chemistry (SAS),Biologics & Process Technology (SAS),Chemical & Pharmaceutical Technology (SAS),Food Science & Nutrition (SAS),Pharmaceutical Science (SAS),Accountancy & Finance (SBM),Banking & Finance (SBM),Business Management (SBM),Food & Beverage Business (SBM),Hospitality & Tourism Management (SBM),Mass Media Management (SBM),Sport & Wellness Management (SBM),Common Business Programme (SBM),Advanced & Digital Manufacturing (SEG),Aeronautical & Aerospace Technology (SEG),Aerospace Systems & Management (SEG),AI & Data Engineering (SEG),Biomedical Engineering (SEG),Electronic & Computer Engineering (SEG),Engineering with Business (SEG),Infocomm & Media Engineering (SEG),Nanotechnology & Materials Science (SEG),Robotics & Mechatronics (SEG),Common Engineering Programme (SEG),Nursing (SHSS),Oral Health Therapy (SHSS),Social Work (SHSS),sum
Female,"Pharmaceutical Science (SAS), Mass Media Management (SBM), Biomedical Engineering (SEG), Nanotechnology & Materials Science (SEG), Nursing (SHSS), Social Work (SHSS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,6
Female,"Experiential Product & Interior Design (SDM), Interaction Design (SDM), Visual Communication (SDM), Motion Graphics Design (SDM), Food & Beverage Business (SBM), Mass Media Management (SBM)",0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Pharmaceutical Science (SAS), Accountancy & Finance (SBM), Banking & Finance (SBM), Nursing (SHSS), Oral Health Therapy (SHSS), Social Work (SHSS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6
Male,"Business & Financial Technology (SIT), Visual Communication (SDM), Banking & Finance (SBM), Business Management (SBM), Mass Media Management (SBM), Common Business Programme (SBM)",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Digital Game Art & Design (SDM), Game Development & Technology (SDM), Applied Chemistry (SAS), Banking & Finance (SBM), Business Management (SBM), Common Engineering Programme (SEG)",0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
Female,"Infocomm & Security (SIT), Business Intelligence & Analytics (SIT), Common ICT Programme (SIT), Game Development & Technology (SDM), Food & Beverage Business (SBM), Hospitality & Tourism Management (SBM)",0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Infocomm & Security (SIT), Cybersecurity  & Digital Forensics (SIT), Animation & Visual Effects (SDM), Digital Game Art & Design (SDM), Motion Graphics Design (SDM), Food & Beverage Business (SBM)",0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Business & Financial Technology (SIT), Information Technology (SIT), Business Intelligence & Analytics (SIT), Animation & Visual Effects (SDM), Motion Graphics Design (SDM), Mass Media Management (SBM)",1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Animation & Visual Effects (SDM), Digital Game Art & Design (SDM), Visual Communication (SDM), Food & Beverage Business (SBM), Mass Media Management (SBM), Nanotechnology & Materials Science (SEG)",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
Male,"Cybersecurity  & Digital Forensics (SIT), Visual Communication (SDM), Mass Media Management (SBM), AI & Data Engineering (SEG), Infocomm & Media Engineering (SEG), Social Work (SHSS)",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,6
Male,"Accountancy & Finance (SBM), Banking & Finance (SBM), Food & Beverage Business (SBM), Hospitality & Tourism Management (SBM), Mass Media Management (SBM), Social Work (SHSS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
Male,"Cybersecurity  & Digital Forensics (SIT), Interaction Design (SDM), Visual Communication (SDM), Food Science & Nutrition (SAS), Mass Media Management (SBM), Social Work (SHSS)",0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
Male,"Business Intelligence & Analytics (SIT), Experiential Product & Interior Design (SDM), Visual Communication (SDM), Business Management (SBM), Mass Media Management (SBM), Oral Health Therapy (SHSS)",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
Male,"Business & Financial Technology (SIT), Information Technology (SIT), Infocomm & Security (SIT), Experiential Product & Interior Design (SDM), Biologics & Process Technology (SAS), Pharmaceutical Science (SAS)",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Animation & Visual Effects (SDM), Interaction Design (SDM), Digital Game Art & Design (SDM), Visual Communication (SDM), Motion Graphics Design (SDM), Game Development & Technology (SDM)",0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Infocomm & Security (SIT), Cybersecurity  & Digital Forensics (SIT), Common ICT Programme (SIT), Chemical & Pharmaceutical Technology (SAS), Aeronautical & Aerospace Technology (SEG), Aerospace Systems & Management (SEG)",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Business & Financial Technology (SIT), Cybersecurity  & Digital Forensics (SIT), Banking & Finance (SBM), Business Management (SBM), Hospitality & Tourism Management (SBM), Aeronautical & Aerospace Technology (SEG)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Experiential Product & Interior Design (SDM), Architecture  (SDM), Interaction Design (SDM), Digital Game Art & Design (SDM), Visual Communication (SDM), Motion Graphics Design (SDM)",0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Business Intelligence & Analytics (SIT), Interaction Design (SDM), Visual Communication (SDM), Business Management (SBM), Mass Media Management (SBM), Advanced & Digital Manufacturing (SEG)",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Business & Financial Technology (SIT), Information Technology (SIT), Infocomm & Security (SIT), Cybersecurity  & Digital Forensics (SIT), Architecture  (SDM), Mass Media Management (SBM)",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Business & Financial Technology (SIT), Infocomm & Security (SIT), Business Intelligence & Analytics (SIT), Chemical & Pharmaceutical Technology (SAS), Accountancy & Finance (SBM), Nursing (SHSS)",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Female,"Business & Financial Technology (SIT), Business Management (SBM), Common Business Programme (SBM), AI & Data Engineering (SEG), Nursing (SHSS), Social Work (SHSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,6
Male,"Business & Financial Technology (SIT), Information Technology (SIT), Infocomm & Security (SIT), Business Intelligence & Analytics (SIT), Banking & Finance (SBM), AI & Data Engineering (SEG)",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
Female,"Business & Financial Technology (SIT), Business Intelligence & Analytics (SIT), Accountancy & Finance (SBM), Banking & Finance (SBM), Business Management (SBM), Engineering with Business (SEG)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
Female,"Cybersecurity  & Digital Forensics (SIT), Game Development & Technology (SDM), Sport & Wellness Management (SBM), Aerospace Systems & Management (SEG), AI & Data Engineering (SEG), Biomedical Engineering (SEG)",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6
Female,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Nursing (SHSS), Oral Health Therapy (SHSS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6
Male,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Nursing (SHSS), Oral Health Therapy (SHSS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6
Female,"Experiential Product & Interior Design (SDM), Animation & Visual Effects (SDM), Interaction Design (SDM), Motion Graphics Design (SDM), Business Management (SBM), Mass Media Management (SBM)",0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Hospitality & Tourism Management (SBM)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Nursing (SHSS), Oral Health Therapy (SHSS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6
Female,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
Female,"Business & Financial Technology (SIT), Business Intelligence & Analytics (SIT), Banking & Finance (SBM), Business Management (SBM), Mass Media Management (SBM), Common Business Programme (SBM)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Accountancy & Finance (SBM), Nursing (SHSS), Oral Health Therapy (SHSS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6
Male,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Nursing (SHSS), Oral Health Therapy (SHSS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6
Female,"Applied Chemistry (SAS), Pharmaceutical Science (SAS), Accountancy & Finance (SBM), Banking & Finance (SBM), Hospitality & Tourism Management (SBM), Mass Media Management (SBM)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Applied Chemistry (SAS), Pharmaceutical Science (SAS), Accountancy & Finance (SBM), Banking & Finance (SBM), Hospitality & Tourism Management (SBM), Mass Media Management (SBM)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Female,"Applied Chemistry (SAS), Pharmaceutical Science (SAS), Accountancy & Finance (SBM), Banking & Finance (SBM), Hospitality & Tourism Management (SBM), Mass Media Management (SBM)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Male,"Applied Chemistry (SAS), Pharmaceutical Science (SAS), Accountancy & Finance (SBM), Banking & Finance (SBM), Hospitality & Tourism Management (SBM), Mass Media Management (SBM)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Female,"Applied Chemistry (SAS), Pharmaceutical Science (SAS), Accountancy & Finance (SBM), Banking & Finance (SBM), Hospitality & Tourism Management (SBM), Mass Media Management (SBM)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Female,"Applied Chemistry (SAS), Pharmaceutical Science (SAS), Accountancy & Finance (SBM), Banking & Finance (SBM), Hospitality & Tourism Management (SBM), Mass Media Management (SBM)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Male,"Applied Chemistry (SAS), Pharmaceutical Science (SAS), Accountancy & Finance (SBM), Banking & Finance (SBM), Hospitality & Tourism Management (SBM), Mass Media Management (SBM)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Female,"Applied Chemistry (SAS), Pharmaceutical Science (SAS), Accountancy & Finance (SBM), Banking & Finance (SBM), Hospitality & Tourism Management (SBM), Mass Media Management (SBM)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Female,"Applied Chemistry (SAS), Pharmaceutical Science (SAS), Accountancy & Finance (SBM), Banking & Finance (SBM), Hospitality & Tourism Management (SBM), Mass Media Management (SBM)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Female,"Applied Chemistry (SAS), Pharmaceutical Science (SAS), Accountancy & Finance (SBM), Banking & Finance (SBM), Hospitality & Tourism Management (SBM), Mass Media Management (SBM)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Female,"Applied Chemistry (SAS), Pharmaceutical Science (SAS), Accountancy & Finance (SBM), Banking & Finance (SBM), Hospitality & Tourism Management (SBM), Mass Media Management (SBM)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Male,"Applied Chemistry (SAS), Pharmaceutical Science (SAS), Accountancy & Finance (SBM), Banking & Finance (SBM), Hospitality & Tourism Management (SBM), Mass Media Management (SBM)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Female,"Applied Chemistry (SAS), Pharmaceutical Science (SAS), Accountancy & Finance (SBM), Banking & Finance (SBM), Hospitality & Tourism Management (SBM), Mass Media Management (SBM)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Female,"Applied Chemistry (SAS), Pharmaceutical Science (SAS), Accountancy & Finance (SBM), Banking & Finance (SBM), Hospitality & Tourism Management (SBM), Mass Media Management (SBM)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Female,"Applied Chemistry (SAS), Pharmaceutical Science (SAS), Accountancy & Finance (SBM), Banking & Finance (SBM), Hospitality & Tourism Management (SBM), Mass Media Management (SBM)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Female,"Applied Chemistry (SAS), Pharmaceutical Science (SAS), Accountancy & Finance (SBM), Banking & Finance (SBM), Hospitality & Tourism Management (SBM), Mass Media Management (SBM)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Female,"Applied Chemistry (SAS), Pharmaceutical Science (SAS), Accountancy & Finance (SBM), Banking & Finance (SBM), Hospitality & Tourism Management (SBM), Mass Media Management (SBM)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Female,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Applied Chemistry (SAS), Biologics & Process Technology (SAS), Chemical & Pharmaceutical Technology (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Oral Health Therapy (SHSS)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
